OID,ID_source,X_source,Y_source,ID_end,X_end,Y_end
282,2,216084.5743,9280696.494,122,216764.9904,9334155.649
283,2,216084.5743,9280696.494,123,217602.2987,9334517.528
284,2,216084.5743,9280696.494,124,216992.2472,9335504.923
285,2,216084.5743,9280696.494,125,217543.6239,9335431.498
286,2,216084.5743,9280696.494,126,217178.5047,9337419.822
287,2,216084.5743,9280696.494,127,217481.5684,9337121.481
288,2,216084.5743,9280696.494,128,217163.8736,9338539.357
289,2,216084.5743,9280696.494,129,217478.5886,9338455.483
290,2,216084.5743,9280696.494,130,216445.1932,9340410.566
291,2,216084.5743,9280696.494,131,216353.9627,9341628.387
292,2,216084.5743,9280696.494,132,216482.6337,9343300.463
293,2,216084.5743,9280696.494,133,216508.8459,9344803.278
294,2,216084.5743,9280696.494,134,216912.7906,9346054.356
295,2,216084.5743,9280696.494,135,217563.016,9346322.822
296,2,216084.5743,9280696.494,136,217012.1252,9347972.89
297,2,216084.5743,9280696.494,137,217748.8914,9347173.116
298,2,216084.5743,9280696.494,138,216708.3335,9349365.882
299,2,216084.5743,9280696.494,139,217729.0699,9349924.41
300,2,216084.5743,9280696.494,140,216579.8161,9350745.816
301,2,216084.5743,9280696.494,141,217756.0426,9350152.92
302,2,216084.5743,9280696.494,142,216591.2771,9352243.605
303,2,216084.5743,9280696.494,143,217414.2603,9351944.945
304,2,216084.5743,9280696.494,144,216707.6069,9353706.346
305,2,216084.5743,9280696.494,145,217482.6398,9354073.031
306,2,216084.5743,9280696.494,146,216874.0269,9355212.578
307,2,216084.5743,9280696.494,147,217700.4539,9355364.915
308,2,216084.5743,9280696.494,148,217002.1986,9356682.844
309,2,216084.5743,9280696.494,149,217782.7776,9356768.42
310,2,216084.5743,9280696.494,150,217224.284,9358047.908
311,2,216084.5743,9280696.494,151,217925.5096,9358306.571
312,2,216084.5743,9280696.494,152,218304.2594,9359625.25
313,2,216084.5743,9280696.494,153,219109.887,9360154.904
314,2,216084.5743,9280696.494,154,218375.084,9360533.602
315,2,216084.5743,9280696.494,155,219679.8068,9360899.379
316,2,216084.5743,9280696.494,156,220784.1132,9361728.057
317,2,216084.5743,9280696.494,157,220224.8136,9363403.728
318,2,216084.5743,9280696.494,158,221252.8252,9362932.585
319,2,216084.5743,9280696.494,159,220130.9102,9364129.854
